time,open,high,low,close,Reistance Level,Support Level,Volume
1613692800,51583.0425,56381.95,50633.93,55970.9075,48953,3880.5875,48239.28946255
1613779200,55977.665,57529.345,53990.5,55951.415,48953,3880.5875,34615.93779157
1613865600,55930.86,58385.435,55528.68,57492.04,48953,3880.5875,21981.25434383
1613952000,57489.645,57579.39,46504.5,54157.43,48953,3880.5875,80578.29859407
1614038400,54146.56,54199.7775,44927.8325,48910.7625,48953,3880.5875,110970.83942024
1614124800,48912.6,51439.8575,47004.4275,49748.1475,48953,3880.5875,50750.78889433
1614211200,49729.9475,52083.2225,46706.2525,47074.9725,48953,3880.5875,46977.65166191
1614297600,47064.12,48465.585,44135.8775,46329.3875,48953,3880.5875,57828.17556854
1614384000,46334.9375,48363.0775,45046.42,46167.6375,48953,3880.5875,24624.03452082
1614470400,46143.98,46671.86,43022.665,45238.64,48953,3880.5875,38340.32299142
1614556800,45247.535,49832.155,45039.19,49638.7375,48953,3880.5875,43653.69026356
1614643200,49636.5,50254.1925,47067.8375,48502.02,48953,3880.5875,29805.59764589
1614729600,48489.2475,52664.005,48167.45,50383.17,48953,3880.5875,36600.7330079
1614816000,50387.995,51810,47500.75,48356.735,48953,3880.5875,38610.65562003
1614902400,48354.1025,49485.035,46280.6975,48754.165,48953,3880.5875,40391.50482256
1614988800,48769.7,49235.55,47092.015,48902.95,48953,3880.5875,18099.52636251
1615075200,48918.635,51471.6825,48918.6075,50977.285,48953,3880.5875,22310.26194325
1615161600,50978.235,52429.915,49328.4025,52408.405,48953,3880.5875,29703.12572339
1615248000,52414.055,54932.065,51867.7275,54923.065,48953,3880.5875,34263.19631287
1615334400,54923.3825,57395.7575,53033.75,55858.515,48953,3880.5875,45580.97538708
1615420800,55887.4925,58134.7725,54280.01,57804.9625,48953,3880.5875,38902.33552843
1615507200,57844.1125,58080.98,55037.8,57241.355,48953,3880.5875,33549.06984332
1615593600,57245.175,61769.97,56083.99,61173.205,48953,3880.5875,37854.01355622
1615680000,61182.42,61675.9225,58973.2475,58997.37,48953,3880.5875,21271.88553133
1615766400,58976.94,60584.4475,54579.2,55628.8325,48953,3880.5875,49277.85382292
1615852800,55619.235,56945.6175,53045.1725,56917.675,48953,3880.5875,40404.16955564
1615939200,56927.0775,58986.6325,54039.74,58917.345,48953,3880.5875,36935.04274036
1616025600,58935.775,60070.81,57015.995,57640.2625,48953,3880.5875,34416.78645739
1616112000,57643.065,59455.7075,56255.4975,58090,48953,3880.5875,24964.34045913
1616198400,58047.6425,59911.25,57766.6975,58117.48,48953,3880.5875,16188.85673401
1616284800,58098.9625,58690.7725,55520.0975,57378.6275,48953,3880.5875,20187.55096905
1616371200,57389.9675,58433.005,53740.7925,54095.6,48953,3880.5875,33882.88781826
