time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,Caution,Danger
1481414400,773.88525,773.89275,764.0775,770.61025,,,,,0,0,0,0,780.4935409104796,720.7809513109464,,
1481500800,770.52125,781.26575,769.578,778.3885,,,,,0,0,0,0,783.1649416969219,721.7000464453246,,
1481587200,778.5315,790.8625,769.03025,777.3975,,,,,1,0,0,0,787.1300314308367,722.9249771291718,0,0
1481673600,777.435,781.3065,772.6375,777.29725,,,,,0,0,0,0,789.1192397454387,724.766201438067,1,0
1481760000,777.2825,780.207,774.1715,776.265,,1,,,0,0,0,0,790.5206542151511,726.8393482569352,,1
1481846400,776.465,783.97975,774.235,782.5475,,,,1,0,0,0,0,792.0164148487055,730.1811969626347,,
1481932800,782.515,792.245,781.915,789.86225,,,,,0,0,0,0,793.7464482089237,733.3992310458283,,
1482019200,789.91475,791.9175,784.85,790.95525,,,,,0,0,0,0,794.4194586298338,737.1850336467568,,
1482105600,790.16025,793.7025,787.9025,791.135,,,,,0,0,0,0,794.1099005371489,741.4565000164882,,
1482192000,790.9765,802.32725,788.4475,799.95225,,,,,0,0,1,0,795.7197635328365,746.1023558422869,0,0
1482278400,799.69725,832.3025,797.266,831.745,,,,,0,0,0,0,805.3451220286184,748.3936175961946,0,0
1482364800,831.47475,875.026,828.1425,858.6175,,,,,0,0,0,0,825.109752640241,745.2642258758813,0,0
1482451200,858.4875,921.225,857.94,916.14,,,,,0,0,0,0,852.1534175454163,739.2180863317374,0,0
1482537600,916.2675,919.98725,882.35,894.18,,1,,,0,0,0,0,872.0066073618254,732.9235086050387,0,0
1482624000,894.18475,898.261,856.0595,895.14225,,,,1,0,0,0,0,884.1058397001561,735.1442902705096,0,0
1482710400,895.0725,912.59,890.795,901.61775,,,,,0,0,0,0,896.9822331758769,734.6228107520145,0,0
1482796800,902.57225,939.9925,896.715,930.2575,,,,,0,0,0,0,913.2682422310288,735.7626999576783,0,0
1482883200,931.261,981.34,930.32,979.65775,,,,,0,0,0,0,935.429050220471,734.2242854633831,0,0
1482969600,980.1475,984.23,950.2,972.0525,,,,,0,0,0,0,954.6877473707254,733.1114631263454,0,0
1483056000,972.1025,972.685,927.80425,961.29225,,,,,0,0,0,0,969.2556490176029,736.4105864576853,0,0
1483142400,961.4425,971.504,945.78075,970.4175,,,,,0,0,0,0,981.512696549372,740.9457691367502,1,0
1483228800,970.7525,1004.635,962.8175,996.34775,,,,,0,0,0,0,997.3503671787741,745.588208125812,0,0
1483315200,997.19425,1034.30525,993.1375,1015.50275,,1,,,0,0,0,0,1016.136846066115,750.228936676664,0,0
1483401600,1015.79675,1038.522,1007.69,1032.2975,,,,1,0,0,0,0,1032.313730047054,756.0476721029945,,0
